line,order_id,video_name,camera_id,init_box,init_time,ai_tracker_picker_found,ai_tracker_last_bbox,ai_tracker_last_time,ai_tracker_stalls,agent_last_bbox,agent_last_time,agent_stalls
0,10264218,Videos/20240117/10264218/ai/C2_S20240117081610900_E20240117081710900.mp4,2,"{""x"": 267.0, ""y"": 40.0, ""height"": 7.0, ""width"": 14.0}",2024-01-17 08:16:15.900000+00:00,TRUE,"{""x"": 119.2363052368164, ""y"": 334.58935546875, ""height"": 39.445762634277344, ""width"": 25.41064453125}",2024-01-17 08:16:30.200000+00:00,"[{""time"": ""2024-01-17 08:16:17.500000+00:00"", ""center"": {""x"": 108.02297386169434, ""y"": 144.98392646789551}}]","{""x"": 139.0, ""y"": 335.0, ""height"": 40.0, ""width"": 25.0}",2024-01-17 08:16:31.300000+00:00,"[{""time"": ""2024-01-17 08:16:22.800000+00:00"", ""center"": {""x"": 81.046, ""y"": 131.107}}]"
1,10264218,Videos/20240117/10264218/ai/C4_S20240117081630400_E20240117081730400.mp4,4,"{""x"": 163.0, ""y"": 70.0, ""height"": 15.0, ""width"": 8.0}",2024-01-17 08:16:35.400000+00:00,TRUE,"{""x"": 137.36257934570312, ""y"": 334.9190673828125, ""height"": 36.9473876953125, ""width"": 25.0809326171875}",2024-01-17 08:16:40.200000+00:00,[],"{""x"": 159.0, ""y"": 353.0, ""height"": 16.0, ""width"": 7.0}",2024-01-17 08:16:41.100000+00:00,[]
2,10264218,Videos/20240117/10264218/ai/C5_S20240117081636100_E20240117081736100.mp4,5,"{""x"": 130.0, ""y"": 32.0, ""height"": 22.0, ""width"": 8.0}",2024-01-17 08:16:41.100000+00:00,TRUE,"{""x"": 145.7364044189453, ""y"": 4.5159502029418945, ""height"": 31.814620971679688, ""width"": 24.496135711669922}",2024-01-17 08:16:40.200000+00:00,"[{""time"": ""2024-01-17 08:16:44.600000+00:00"", ""center"": {""x"": 142.08094970703124, ""y"": 60.037992782592774}}, {""time"": ""2024-01-17 08:17:01.900000+00:00"", ""center"": {""x"": 118.76872909545898, ""y"": 144.65787948608397}}]","{""x"": 275.0, ""y"": 344.0, ""height"": 24.0, ""width"": 16.0}",2024-01-17 08:17:16.200000+00:00,"[{""time"": ""2024-01-17 08:16:50.700000+00:00"", ""center"": {""x"": 106.187, ""y"": 34.703}}, {""time"": ""2024-01-17 08:17:03.900000+00:00"", ""center"": {""x"": 108.187, ""y"": 150.203}}]"
3,10264218,Videos/20240117/10264218/ai/C6_S20240117081711200_E20240117081811200.mp4,6,"{""x"": 299.0, ""y"": 57.0, ""height"": 31.0, ""width"": 21.0}",2024-01-17 08:17:16.200000+00:00,TRUE,"{""x"": 69.81271362304688, ""y"": 315.4156494140625, ""height"": 51.726539611816406, ""width"": 40.45166015625}",2024-01-17 08:17:19.600000+00:00,[],"{""x"": 251.0, ""y"": 342.0, ""height"": 34.0, ""width"": 18.0}",2024-01-17 08:17:11.300000+00:00,[]
4,10265413,Videos/20240117/10265413/ai/C2_S20240117081407600_E20240117081507600.mp4,2,"{""x"": 259.0, ""y"": 34.0, ""height"": 7.0, ""width"": 15.0}",2024-01-17 08:14:12.600000+00:00,TRUE,"{""x"": 94.4407730102539, ""y"": 322.8250732421875, ""height"": 34.41210174560547, ""width"": 36.504486083984375}",2024-01-17 08:15:01.300000+00:00,"[{""time"": ""2024-01-17 08:14:17.200000+00:00"", ""center"": {""x"": 98.29380516052247, ""y"": 141.67249061584474}}, {""time"": ""2024-01-17 08:14:38.300000+00:00"", ""center"": {""x"": 99.6069329071045, ""y"": 216.85856719970704}}]","{""x"": 120.0, ""y"": 332.0, ""height"": 24.0, ""width"": 24.0}",2024-01-17 08:15:03.400000+00:00,"[{""time"": ""2024-01-17 08:14:22.800000+00:00"", ""center"": {""x"": 56.429, ""y"": 138.628}}, {""time"": ""2024-01-17 08:14:22.800000+00:00"", ""center"": {""x"": 57.762, ""y"": 134.295}}, {""time"": ""2024-01-17 08:14:40.300000+00:00"", ""center"": {""x"": 70.012, ""y"": 224.712}}, {""time"": ""2024-01-17 08:14:40.300000+00:00"", ""center"": {""x"": 68.845, ""y"": 220.045}}, {""time"": ""2024-01-17 08:14:44.900000+00:00"", ""center"": {""x"": 81.179, ""y"": 223.712}}, {""time"": ""2024-01-17 08:14:44.900000+00:00"", ""center"": {""x"": 80.345, ""y"": 219.712}}, {""time"": ""2024-01-17 08:14:58.900000+00:00"", ""center"": {""x"": 83.845, ""y"": 299.379}}]"
5,10264218,Videos/20240117/10264218/ai/C26_S20240117081706300_E20240117081806300.mp4,26,"{""x"": 319.0, ""y"": 170.0, ""height"": 68.0, ""width"": 1.0}",2024-01-17 08:17:11.300000+00:00,FALSE,,,,"{""x"": 352.0, ""y"": 81.0, ""height"": 52.0, ""width"": 27.0}",2024-01-17 08:17:06.400000+00:00,[]
6,10264218,Videos/20240117/10264218/ai/C24_S20240117081701400_E20240117081801400.mp4,24,"{""x"": 324.0, ""y"": 280.0, ""height"": 67.0, ""width"": 69.0}",2024-01-17 08:17:06.400000+00:00,FALSE,,,,"{""x"": 170.0, ""y"": 153.0, ""height"": 50.0, ""width"": 32.0}",2024-01-17 08:17:01.500000+00:00,[]
7,10264218,Videos/20240117/10264218/ai/C8_S20240117081656500_E20240117081756500.mp4,8,"{""x"": 147.0, ""y"": 52.0, ""height"": 40.0, ""width"": 16.0}",2024-01-17 08:17:01.500000+00:00,FALSE,,,,"{""x"": 155.0, ""y"": 341.0, ""height"": 42.0, ""width"": 19.0}",2024-01-17 08:16:56.600000+00:00,[]
8,10264218,Videos/20240117/10264218/ai/C9_S20240117081651600_E20240117081751600.mp4,9,"{""x"": 169.0, ""y"": 27.0, ""height"": 44.0, ""width"": 19.0}",2024-01-17 08:16:56.600000+00:00,FALSE,,,,"{""x"": 256.0, ""y"": 338.0, ""height"": 39.0, ""width"": 21.0}",2024-01-17 08:16:51.700000+00:00,[]
9,10265413,Videos/20240117/10265413/ai/C3_S20240117081458400_E20240117081558400.mp4,3,"{""x"": 5.0, ""y"": 58.0, ""height"": 117.0, ""width"": 55.0}",2024-01-17 08:15:03.400000+00:00,TRUE,"{""x"": 103.142822265625, ""y"": 324.1474609375, ""height"": 41.630035400390625, ""width"": 35.621429443359375}",2024-01-17 08:15:52+00:00,"[{""time"": ""2024-01-17 08:15:05.800000+00:00"", ""center"": {""x"": 118.77098266601563, ""y"": 121.23101493835449}}, {""time"": ""2024-01-17 08:15:32.900000+00:00"", ""center"": {""x"": 110.85838150024414, ""y"": 235.1239515686035}}, {""time"": ""2024-01-17 08:15:40.200000+00:00"", ""center"": {""x"": 128.61969161987304, ""y"": 341.4287615966797}}]","{""x"": 119.0, ""y"": 351.0, ""height"": 12.0, ""width"": 9.0}",2024-01-17 08:15:52+00:00,"[{""time"": ""2024-01-17 08:15:12.300000+00:00"", ""center"": {""x"": 95.794, ""y"": 92.03}}, {""time"": ""2024-01-17 08:15:12.300000+00:00"", ""center"": {""x"": 94.628, ""y"": 87.697}}, {""time"": ""2024-01-17 08:15:22.500000+00:00"", ""center"": {""x"": 92.044, ""y"": 166.614}}, {""time"": ""2024-01-17 08:15:34.100000+00:00"", ""center"": {""x"": 81.378, ""y"": 238.031}}, {""time"": ""2024-01-17 08:15:34.100000+00:00"", ""center"": {""x"": 81.211, ""y"": 233.031}}, {""time"": ""2024-01-17 08:15:50.600000+00:00"", ""center"": {""x"": 91.378, ""y"": 313.365}}]"
